tyson yoshi|01/01/2016|M|32|012345678912|11 jalan silvia|+60183784367|100045
ryusei akiba|02/03/2017|M|78|047383638273|12 jalan skyline|+60173837262|100012
the rock|12/09/2019|F|66|046373827291|13 jalan supra|+60173829272|100043
johnny walker|08/08/2020|M|20|797382617281|14 jalan huayra|+60126473820|100087
wataru kato|09/09/2021|M|78|047383638273|15 jalan medusa|+60173837262|100023
horacio pagani|10/10/2021|F|66|046373827291|16 jalan regera|+60173829272|100044
capper|05/05/2022|M|32|012345678912|17 jalan dutsun|+60183784367|100095
jason ng|07/07/2022|M|78|047383638273|18 jalan gimera|+60173837262|100022
lax lee|01/01/2023|M|66|046373827291|19 jalan ducati|+60173829272|100015
enzo ferrari|02/02/2023|F|44|792726251718|12 jalan 720|+60182726382|100078
